交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價,
1060525,1011,吳郭魚,岡山,59.4,30,30,3619.2,40.9,
1060525,1011,吳郭魚,桃園,55,50.8,34.1,2074.1,47.4,
1060525,1019,其他吳郭,台中,85.5,68.6,60,1050,86,
1060525,1019,其他吳郭,埔心,119.5,84.1,59.5,415.5,78,
1060525,1023,草魚,台北,85,82.7,78.4,283.2,82.3,
1060525,1024,大頭鰱,嘉義,51.2,42.7,25.8,338.5,41,
1060525,1031,白鰻,台中,0,164.5,0,20,164.5,
1060525,1039,其他鰻類,台中,0,95,0,5,95,
1060525,1041,虱目魚,桃園,135,118.8,106.7,200,116.8,
1060525,1043,虱目魚頭,台中,50,37.7,11,205,30.8,
1060525,1043,虱目魚頭,苗栗,0,0,12,25,12,
1060525,1043,虱目魚頭,嘉義,9,8.2,7,45,8.1,
1060525,1051,烏仔魚,台中,65,52,30,416,61.4,
1060525,1051,烏仔魚,佳里,0,50,42,144,45.5,
1060525,1071,金目鱸,三重,135.1,101.3,100,396.5,107.8,
1060525,1071,金目鱸,台中,123.5,111.7,102.5,3974,106.3,
1060525,1071,金目鱸,桃園,138.3,108.4,101.1,543.1,112.8,
1060525,1071,金目鱸,嘉義,138.2,123.8,117.2,2333.5,125.3,
1060525,1072,加州鱸,台中,144.7,134.8,116.7,775,135.5,
1060525,1073,七星鱸,三重,145,120.5,117.5,156,124.8,
1060525,1073,七星鱸,台北,101.6,93.9,74.2,607.8,91.5,
1060525,1074,銀花鱸,三重,133.6,123.6,120,28,124.9,
1060525,1074,銀花鱸,苗栗,140,135,130,60,137.5,
1060525,1081,鱺魚,嘉義,92,92,92,6,92,
1060525,1121,鱒魚,彰化,243,239,237,17.6,239,
1060525,1141,田蛙,斗南,75,68.7,62.5,120,68.7,
1060525,1141,田蛙,台北,100,98.9,94.3,1048,98.9,
1060525,1141,田蛙,埔心,61,57.4,56.5,130.5,57.9,
1060525,1172,淡水珍珠石斑,桃園,175,172.2,160,117,170.9,
1060525,1173,龍膽石斑,桃園,190,165.3,130,73,162.7,
1060525,1181,黃臘鰺(紅杉),苗栗,150,110,70,54,121.1,
1060525,1191,香魚(養殖),三重,116.6,116.6,116.6,18,116.6,
1060525,1191,香魚(養殖),埔心,218.2,203.9,189,72,203.8,
1060525,1191,香魚(養殖),彰化,270,241,230,135,241.1,
1060525,1272,午仔魚(養殖),三重,268.1,222.5,200,83,227.1,
1060525,1272,午仔魚(養殖),埔心,320.5,248.4,199.4,336,253,
1060525,1272,午仔魚(養殖),新營,317.6,255.7,201.9,141.8,257.3,
1060525,1999,其他養殖,斗南,165.7,128.5,125,70,135.3,
1060525,1999,其他養殖,台北,250,183.9,53.8,383,171.1,
1060525,2012,赤宗,埔心,451.7,417,392.3,41.5,417,
1060525,2012,赤宗,彰化,445,425,407,20.8,424.8,
1060525,2013,盤仔,台北,458.2,38.2,30,205.8,126.1,
1060525,2013,盤仔,新竹,247,19.4,15,362.9,64.1,
1060525,2019,其他鯛類(沿海),岡山,140,131.8,130,3.9,133.1,
1060525,2021,金線,台中,0,252.7,0,40,252.7,
1060525,2021,金線,新竹,270,262,253.8,39.4,262,
1060525,2031,赤海,嘉義,286.8,269.7,222.2,190.3,263.6,
1060525,2042,紅魚(沿海),新營,227.9,213.3,197.4,82,213.1,
1060525,2042,紅魚(沿海),彰化,274,253,217,138,252.7,
1060525,2061,黃花(沿海),岡山,206.4,185.9,160,338,184.8,
1060525,2061,黃花(沿海),埔心,203.7,175.4,160.3,815.5,177.9,
1060525,2061,黃花(沿海),桃園,217.2,181.7,165.1,984.3,188.2,
1060525,2061,黃花(沿海),嘉義,191.4,170.5,165.2,1113.9,173.6,
