從事項目,編號,許可機關,核准日期,核准文號,許可期間,研究作業人員數,進出漁港,目的事業主管機關,備註,核准船數,
拍攝漁撈作業,1,臺東縣政府,105年2月5日,府農漁字第1050026890號,105年2月8日~105年8月31日,3,臺東縣新港,,,1,
拍攝漁撈作業,2,屏東縣政府,103年10月15日,屏府農漁字第10371466400號,103年10月15日~103年12月31日,5,屏東縣興海,文化部,文化部,1,
拍攝漁撈作業,3,臺東縣政府,103年9月12日,府農漁字第1030180945號,103年9月12日~103年12月31日,5,新港,行政院文化部,行政院文化部,1,
拍攝漁撈作業,4,基隆市政府,103年9月22日,基府產事貳字第103056000號,103年9月23日~103年10月15日,4,八斗子漁港、碧砂漁港,,,1,
拍攝漁撈作業,5,屏東縣政府,103年12月11日,屏府農漁10377865500,103年12月12日~103年12月31日,3,屏東縣天福、屏東縣漁福、屏東縣琉球新、屏東縣小琉球、屏東縣杉福,文化部,文化部,1,
拍攝漁撈作業,6,屏東縣政府,104年3月30日,屏府農漁字第10409678500號,104年4月1日~104年4月1日,1,屏東縣天福、屏東縣小琉球、屏東縣琉球新、屏東縣杉福、屏東縣漁福,,,1,
拍攝漁撈作業,7,花蓮縣政府,104年5月13日,花蓮縣政府府農漁字第1040091346號函,104年5月14日~104年6月30日,8,花蓮漁港,WilmaTV，Inc,WilmaTV，Inc,2,
拍攝漁撈作業,8,屏東縣政府,102年5月30日,屏府農漁字第10216331600號,102年5月30日~102年5月30日,2,屏東縣小琉球,,,1,
拍攝漁撈作業,9,臺東縣政府,102年12月20日,府農漁字第1020244011號,102年12月15日~102年12月31日,3,成功,,,1,
拍攝漁撈作業,10,宜蘭縣政府,102年9月16日,漁一1020008804,102年9月16日~102年11月30日,1,宜蘭縣南方澳,宜蘭縣漁業管理所,宜蘭縣漁業管理所,1,
拍攝漁撈作業,11,嘉義縣政府,104年5月14日,1040086378,104年5月14日~104年5月23日,1,嘉義縣塭港型厝安檢所,三立電視股份有限公司,三立電視股份有限公司,1,
拍攝漁撈作業,12,屏東縣政府,102年7月9日,屏府農漁字第10217135000號,102年7月9日~102年8月3日,4,屏東縣竹坑,,,1,
拍攝漁撈作業,13,屏東縣政府,103年5月13日,屏府農漁字第10314432700號,103年5月13日~103年5月23日,4,屏東縣小琉球、屏東縣杉福,三立電視股份有限公司節目部台灣尚青節目,三立電視股份有限公司節目部台灣尚青節目,2,
拍攝漁撈作業,14,宜蘭縣政府,103年10月30日,漁一1030009905,103年10月30日~103年11月9日,1,宜蘭縣石城,三立電視股份有限公司,三立電視股份有限公司,1,
拍攝漁撈作業,15,基隆市政府,104年7月6日,基府產事貳字1040038531號函,104年7月6日~104年8月31日,5,八斗子漁港、南方澳漁港,,,3,
拍攝漁撈作業,16,宜蘭縣政府,104年7月9日,漁一1040006052,104年7月9日~104年8月31日,5,南方澳漁港、八斗子漁港,,,3,
拍攝漁撈作業,17,基隆市政府,104年7月7日,基府產事貳字1040038944號函,104年7月7日~104年8月31日,2,八斗子漁港,財團法人公共電視文化事業基金會,財團法人公共電視文化事業基金會,1,
拍攝漁撈作業,18,臺東縣政府,103年10月21日,府農漁字第1030210221號,103年10月21日~103年12月31日,4,新港漁港,文化部,文化部,1,
拍攝漁撈作業,19,臺中市政府,105年3月28日,中市漁行字第1050001402號函,105年3月28日~105年4月24日,3,臺中市麗水,鑫傳視訊廣告股份有限公司,鑫傳視訊廣告股份有限公司,3,
拍攝漁撈作業,20,花蓮縣政府,104年4月30日,花蓮縣政府府農漁字第1040080622號,104年5月8日~104年5月13日,8,花蓮港,花蓮縣政府,花蓮縣政府,1,
